translation_id,source_word_id,german,english,russian
105,105,"der Schüler","pupil (male)",""
106,106,"die Schülerin","pupil (female)",""
107,107,"das Haus","house",""
108,108,"die Wohnung","apartment",""
109,109,"das Zimmer","room",""
110,110,"die Tür","door",""
111,111,"das Fenster","window",""
112,112,"der Tisch","table",""
113,113,"der Stuhl","chair",""
114,114,"das Bett","bed",""
115,115,"der Schrank","closet",""
116,116,"die Lampe","lamp",""
117,117,"der Schlüssel","key",""
118,118,"die Uhr","clock / watch",""
119,119,"das Bild","picture",""
120,120,"der Spiegel","mirror",""
121,121,"der Teppich","carpet",""
122,122,"die Kleidung","clothing",""
123,123,"die Hose","pants / trousers",""
124,124,"das Hemd","shirt",""
125,125,"das T-Shirt","t-shirt",""
126,126,"das Kleid","dress",""
127,127,"der Rock","skirt",""
128,128,"die Schuhe","shoes",""
129,129,"die Jacke","jacket",""
130,130,"der Mantel","coat",""
131,131,"der Pullover","sweater",""
132,132,"die Socken","socks",""
133,133,"der Hut","hat",""
134,134,"die Schule","school",""
135,135,"das Buch","book",""
136,136,"das Heft","notebook",""
137,137,"der Stift","pen",""
138,138,"der Bleistift","pencil",""
139,139,"der Kuli","ballpoint pen",""
140,140,"die Tasche","bag",""
141,141,"der Rucksack","backpack",""
142,142,"das Papier","paper",""
143,143,"das Lineal","ruler",""
144,144,"der Radiergummi","eraser",""
145,145,"die Schere","scissors",""
146,146,"der Computer","computer",""
147,147,"das Essen","food",""
148,148,"das Brot","bread",""
149,149,"das Brötchen","bread roll",""
150,150,"die Butter","butter",""
151,151,"der Käse","cheese",""
152,152,"das Ei","egg",""
153,153,"die Eier","eggs",""
154,154,"das Fleisch","meat",""
155,155,"der Fisch","fish",""
156,156,"die Wurst","sausage",""
157,157,"der Schinken","ham",""
158,158,"die Suppe","soup",""
159,159,"der Salat","salad",""
160,160,"das Gemüse","vegetable(s)",""
161,161,"das Obst","fruit",""
162,162,"der Apfel","apple",""
163,163,"die Banane","banana",""
164,164,"die Kartoffel","potato",""
165,165,"der Reis","rice",""
166,166,"die Nudeln","noodles/pasta",""
167,167,"das Wasser","water",""
168,168,"die Milch","milk",""
169,169,"der Kaffee","coffee",""
170,170,"der Tee","tea",""
171,171,"der Saft","juice",""
172,172,"das Bier","beer",""
173,173,"der Wein","wine",""
174,174,"die Cola","cola",""
175,175,"der Kakao","cocoa",""
176,176,"das Frühstück","breakfast",""
177,177,"das Mittagessen","lunch",""
178,178,"das Abendessen","dinner",""
179,179,"das Restaurant","restaurant",""
180,180,"das Café","café",""
181,181,"die Küche","kitchen",""
182,182,"der Teller","plate",""
183,183,"die Tasse","cup",""
184,184,"das Glas","glass",""
185,185,"das Messer","knife",""
186,186,"die Gabel","fork",""
187,187,"der Löffel","spoon",""
188,188,"der Hunger","hunger",""
189,189,"der Durst","thirst",""
190,190,"der Tag","day",""
191,191,"die Woche","week",""
192,192,"der Montag","Monday",""
193,193,"der Dienstag","Tuesday",""
194,194,"der Mittwoch","Wednesday",""
195,195,"der Donnerstag","Thursday",""
196,196,"der Freitag","Friday",""
197,197,"der Samstag","Saturday",""
198,198,"der Sonntag","Sunday",""
199,199,"das Wochenende","weekend",""
200,200,"der Monat","month",""
201,201,"das Jahr","year",""
202,202,"der Januar","January",""
203,203,"der Februar","February",""
204,204,"der März","March",""
205,205,"der April","April",""
206,206,"der Mai","May",""
207,207,"der Juni","June",""
208,208,"der Juli","July",""
209,209,"der August","August",""
210,210,"der September","September",""
211,211,"der Oktober","October",""
212,212,"der November","November",""
213,213,"der Dezember","December",""
214,214,"die Jahreszeit","season",""
215,215,"der Frühling","spring",""
216,216,"der Sommer","summer",""
217,217,"der Herbst","autumn/fall",""
218,218,"der Winter","winter",""
219,219,"heute","today",""
220,220,"morgen","tomorrow",""
221,221,"gestern","yesterday",""
222,222,"jetzt","now",""
223,223,"später","later",""
224,224,"bald","soon",""
225,225,"immer","always",""
226,226,"nie","never",""
227,227,"manchmal","sometimes",""
228,228,"oft","often",""
229,229,"die Stunde","hour",""
230,230,"die Minute","minute",""
231,231,"die Stadt","city",""
232,232,"das Dorf","village",""
233,233,"die Straße","street",""
234,234,"der Platz","square / place",""
235,235,"der Park","park",""
236,236,"das Geschäft","shop",""
237,237,"der Laden","store",""
238,238,"der Supermarkt","supermarket",""
239,239,"die Bank","bank",""
240,240,"die Post","post office",""
241,241,"das Krankenhaus","hospital",""
242,242,"die Apotheke","pharmacy",""
243,243,"die Kirche","church",""
244,244,"der Bahnhof","train station",""
245,245,"der Flughafen","airport",""
246,246,"das Bad","bathroom",""
247,247,"das Badezimmer","bathroom",""
248,248,"die Toilette","toilet",""
249,249,"das Wohnzimmer","living room",""
250,250,"das Schlafzimmer","bedroom",""
251,251,"das Esszimmer","dining room",""
252,252,"der Balkon","balcony",""
253,253,"der Garten","garden",""
254,254,"links","left",""
255,255,"rechts","right",""
256,256,"geradeaus","straight ahead",""
257,257,"hier","here",""
258,258,"dort","there",""
259,259,"da","there",""
260,260,"oben","up / upstairs",""
261,261,"unten","down / downstairs",""
262,262,"vorne","in front",""
263,263,"hinten","in back",""
264,264,"neben","next to",""
265,265,"in","in",""
266,266,"auf","on",""
267,267,"bei","at / near",""
268,268,"gehen","to walk / go",""
269,269,"kommen","to come",""
270,270,"fahren","to drive / go",""
271,271,"laufen","to run",""
272,272,"fliegen","to fly",""
273,273,"rennen","to run",""
274,274,"stehen","to stand",""
275,275,"sitzen","to sit",""
276,276,"liegen","to lie",""
277,277,"machen","to do / make",""
278,278,"arbeiten","to work",""
279,279,"lernen","to learn / study",""
280,280,"studieren","to study (university)",""
281,281,"spielen","to play",""
282,282,"essen","to eat",""
283,283,"trinken","to drink",""
284,284,"kochen","to cook",""
285,285,"schlafen","to sleep",""
286,286,"aufstehen","to get up",""
287,287,"aufwachen","to wake up",""
288,288,"sprechen","to speak",""
289,289,"sagen","to say",""
290,290,"fragen","to ask",""
291,291,"antworten","to answer",""
292,292,"hören","to hear / listen",""
293,293,"sehen","to see",""
294,294,"lesen","to read",""
295,295,"schreiben","to write",""
296,296,"verstehen","to understand",""
297,297,"wohnen","to live",""
298,298,"bleiben","to stay",""
299,299,"geben","to give",""
300,300,"nehmen","to take",""
301,301,"kaufen","to buy",""
302,302,"verkaufen","to sell",""
303,303,"bezahlen","to pay",""
304,304,"öffnen","to open",""
305,305,"schließen","to close",""
306,306,"helfen","to help",""
307,307,"suchen","to search",""
308,308,"finden","to find",""
309,309,"wissen","to know (facts)",""
310,310,"kennen","to know (be acquainted)",""
311,311,"mögen","to like",""
312,312,"lieben","to love",""
313,313,"wollen","to want",""
314,314,"müssen","must / have to",""
315,315,"können","can / to be able",""
316,316,"dürfen","may / to be allowed",""
317,317,"die Farbe","color",""
318,318,"rot","red",""
319,319,"blau","blue",""
320,320,"grün","green",""
321,321,"gelb","yellow",""
322,322,"schwarz","black",""
323,323,"weiß","white",""
324,324,"grau","gray",""
325,325,"braun","brown",""
326,326,"orange","orange",""
327,327,"rosa","pink",""
328,328,"lila","purple",""
329,329,"groß","big / tall",""
330,330,"klein","small",""
331,331,"lang","long",""
332,332,"kurz","short",""
333,333,"dick","thick / fat",""
334,334,"dünn","thin",""
335,335,"hoch","high",""
336,336,"niedrig","low",""
337,337,"breit","wide",""
338,338,"schmal","narrow",""
339,339,"gut","good",""
340,340,"schlecht","bad",""
341,341,"schön","beautiful / nice",""
342,342,"hässlich","ugly",""
343,343,"neu","new",""
344,344,"alt","old",""
345,345,"jung","young",""
346,346,"schnell","fast",""
347,347,"langsam","slow",""
348,348,"laut","loud",""
349,349,"leise","quiet",""
350,350,"heiß","hot",""
351,351,"kalt","cold",""
352,352,"warm","warm",""
353,353,"kühl","cool",""
354,354,"hell","bright / light",""
355,355,"dunkel","dark",""
356,356,"leicht","easy / light",""
357,357,"schwer","difficult / heavy",""
358,358,"teuer","expensive",""
359,359,"billig","cheap",""
360,360,"voll","full",""
361,361,"leer","empty",""
362,362,"sauber","clean",""
363,363,"schmutzig","dirty",""
364,364,"richtig","right / correct",""
365,365,"falsch","wrong",""
366,366,"der Preis","price",""
367,367,"das Geld","money",""
368,368,"der Euro","euro",""
369,369,"der Cent","cent",""
370,370,"kosten","to cost",""
371,371,"die Kasse","cash register",""
372,372,"der Markt","market",""
373,373,"die Tüte","(plastic) bag",""
374,374,"viel","much / many",""
375,375,"wenig","little / few",""
376,376,"mehr","more",""
377,377,"weniger","less",""
378,378,"genug","enough",""
379,379,"zu viel","too much",""
380,380,"zu wenig","too little",""
381,381,"etwas","something",""
382,382,"nichts","nothing",""
383,383,"alles","everything",""
384,384,"ein bisschen","a little bit",""
385,385,"ein paar","a few",""
386,386,"alle","all",""
387,387,"kein","no / none",""
388,388,"die Zahl","number",""
389,389,"die Nummer","number",""
390,390,"das Stück","piece",""
391,391,"die Packung","package",""
392,392,"die Flasche","bottle",""
393,393,"die Dose","can",""
394,394,"das Auto","car",""
395,395,"der Bus","bus",""
396,396,"der Zug","train",""
397,397,"die Bahn","train / railway",""
398,398,"die S-Bahn","suburban train",""
399,399,"die U-Bahn","subway",""
400,400,"die Straßenbahn","tram",""
401,401,"das Fahrrad","bicycle",""
402,402,"das Rad","bike",""
403,403,"das Motorrad","motorcycle",""
404,404,"das Taxi","taxi",""
405,405,"das Flugzeug","airplane",""
406,406,"das Schiff","ship",""
407,407,"steigen","to climb / get on",""
408,408,"einsteigen","to get in",""
409,409,"aussteigen","to get out",""
410,410,"umsteigen","to transfer",""
411,411,"die Haltestelle","stop",""
412,412,"die Fahrkarte","ticket",""
413,413,"das Ticket","ticket",""
414,414,"die Fahrt","trip / ride",""
415,415,"die Reise","journey / trip",""
416,416,"ankommen","to arrive",""
417,417,"abfahren","to depart",""
418,418,"der Parkplatz","parking lot",""
419,419,"parken","to park",""
420,420,"der Körper","body",""
421,421,"der Kopf","head",""
422,422,"das Haar","hair",""
423,423,"die Haare","hair (plural)",""
424,424,"das Gesicht","face",""
425,425,"das Auge","eye",""
426,426,"die Augen","eyes",""
427,427,"das Ohr","ear",""
428,428,"die Ohren","ears",""
429,429,"die Nase","nose",""
430,430,"der Mund","mouth",""
431,431,"der Zahn","tooth",""
432,432,"die Zähne","teeth",""
433,433,"die Lippe","lip",""
434,434,"der Hals","neck / throat",""
435,435,"die Schulter","shoulder",""
436,436,"der Arm","arm",""
437,437,"die Hand","hand",""
438,438,"der Finger","finger",""
439,439,"der Bauch","belly / stomach",""
440,440,"der Rücken","back",""
441,441,"das Bein","leg",""
442,442,"das Knie","knee",""
443,443,"der Fuß","foot",""
444,444,"die Füße","feet",""
445,445,"die Zehe","toe",""
446,446,"gesund","healthy",""
447,447,"krank","sick",""
448,448,"der Schmerz","pain",""
449,449,"die Schmerzen","pains",""
450,450,"wehtun","to hurt",""
451,451,"die Medizin","medicine",""
452,452,"das Medikament","medication",""
453,453,"die Tablette","pill / tablet",""
454,454,"das Pflaster","band-aid",""
455,455,"die Erkältung","cold",""
456,456,"das Fieber","fever",""
457,457,"der Husten","cough",""
458,458,"der Schnupfen","runny nose",""
459,459,"müde","tired",""
460,460,"wach","awake",""
461,461,"fit","fit",""
462,462,"der Sport","sport",""
463,463,"der Fußball","soccer / football",""
464,464,"der Basketball","basketball",""
465,465,"der Tennis","tennis",""
466,466,"das Schwimmen","swimming",""
467,467,"schwimmen","to swim",""
468,468,"joggen","to jog",""
469,469,"wandern","to hike",""
470,470,"tanzen","to dance",""
471,471,"das Yoga","yoga",""
472,472,"das Training","training",""
473,473,"die Musik","music",""
474,474,"das Lied","song",""
475,475,"das Konzert","concert",""
476,476,"singen","to sing",""
477,477,"der Film","film / movie",""
478,478,"das Kino","cinema",""
479,479,"das Theater","theater",""
480,480,"das Fernsehen","television (activity)",""
481,481,"der Fernseher","TV set",""
482,482,"das Radio","radio",""
483,483,"das Hobby","hobby",""
484,484,"die Freizeit","free time",""
485,485,"das Spiel","game",""
486,486,"das Internet","internet",""
487,487,"das Handy","mobile phone",""
488,488,"das Telefon","telephone",""
489,489,"telefonieren","to phone",""
490,490,"die E-Mail","email",""
491,491,"das Foto","photo",""
492,492,"fotografieren","to photograph",""
493,493,"malen","to paint",""
494,494,"zeichnen","to draw",""
495,495,"basteln","to craft",""
496,496,"treffen","to meet",""
497,497,"sich treffen","to meet up",""
498,498,"besuchen","to visit",""
499,499,"die Party","party",""
500,500,"feiern","to celebrate",""
501,501,"die Feier","celebration",""
502,502,"der Geburtstag","birthday",""
503,503,"das Geschenk","gift",""
504,504,"einladen","to invite",""
505,505,"die Einladung","invitation",""
506,506,"ausgehen","to go out",""
507,507,"spazieren gehen","to go for a walk",""
508,508,"der Spaziergang","walk",""
509,509,"Spaß haben","to have fun",""
510,510,"der Spaß","fun",""
511,511,"sich freuen","to be happy",""
512,512,"lachen","to laugh",""
513,513,"weinen","to cry",""
516,516,"sich anziehen","to get dressed",""
517,517,"sich ausziehen","to get undressed",""
518,518,"sich waschen","to wash oneself",""
519,519,"sich duschen","to shower",""
520,520,"sich baden","to bathe",""
521,521,"sich kämmen","to comb one's hair",""
522,522,"sich rasieren","to shave",""
523,523,"sich schminken","to put on makeup",""
524,524,"sich die Zähne putzen","to brush one's teeth",""
525,525,"sich fertig machen","to get ready",""
526,526,"frühstücken","to have breakfast",""
527,527,"zu Mittag essen","to have lunch",""
528,528,"zu Abend essen","to have dinner",""
529,529,"die Seife","soap",""
530,530,"das Shampoo","shampoo",""
531,531,"die Zahnbürste","toothbrush",""
532,532,"die Zahnpasta","toothpaste",""
533,533,"das Handtuch","towel",""
534,534,"der Kamm","comb",""
535,535,"die Bürste","brush",""
537,537,"der Föhn","hair dryer",""
538,538,"die Creme","cream",""
539,539,"das Make-up","makeup",""
540,540,"der Lippenstift","lipstick",""
541,541,"das Parfüm","perfume",""
542,542,"das Deodorant","deodorant",""
543,543,"der Rasierer","razor",""
544,544,"der Morgen","morning",""
545,545,"der Vormittag","late morning",""
546,546,"der Mittag","noon",""
547,547,"der Nachmittag","afternoon",""
548,548,"der Abend","evening",""
549,549,"die Nacht","night",""
550,550,"der Tagesablauf","daily routine",""
551,551,"die Routine","routine",""
552,552,"täglich","daily",""
553,553,"jeden Tag","every day",""
554,554,"morgens","in the morning",""
555,555,"mittags","at noon",""
556,556,"abends","in the evening",""
557,557,"nachts","at night",""
558,558,"früh","early",""
559,559,"spät","late",""
560,560,"pünktlich","on time",""
561,561,"rechtzeitig","in time",""
562,562,"verspätet","delayed",""
563,563,"das Einfamilienhaus","single-family house",""
564,564,"das Mehrfamilienhaus","apartment building",""
565,565,"die Mietwohnung","rental apartment",""
566,566,"die Eigentumswohnung","condominium",""
567,567,"das Hochhaus","high-rise",""
568,568,"das Reihenhaus","townhouse",""
569,569,"der Altbau","old building",""
570,570,"der Neubau","new building",""
571,571,"das Erdgeschoss","ground floor",""
572,572,"der Stock","floor/story",""
573,573,"die Etage","floor/story",""
574,574,"der Aufzug","elevator",""
575,575,"das Treppenhaus","stairwell",""
576,576,"das Sofa","sofa",""
577,577,"der Sessel","armchair",""
578,578,"das Regal","shelf",""
579,579,"der Schreibtisch","desk",""
580,580,"der Kühlschrank","refrigerator",""
581,581,"der Herd","stove",""
582,582,"die Spülmaschine","dishwasher",""
583,583,"die Waschmaschine","washing machine",""
584,584,"der Trockner","dryer",""
585,585,"der Staubsauger","vacuum cleaner",""
586,586,"das Bügeleisen","iron",""
587,587,"der Vorhang","curtain",""
588,588,"die Gardine","curtain (sheer)",""
589,589,"das Kissen","pillow/cushion",""
590,590,"die Decke","blanket/ceiling",""
591,591,"die Miete","rent",""
592,592,"der Mieter","tenant",""
593,593,"der Vermieter","landlord",""
594,594,"mieten","to rent",""
595,595,"vermieten","to rent out",""
596,596,"der Mietvertrag","rental contract",""
597,597,"die Nebenkosten","additional costs",""
598,598,"die Kaution","deposit",""
599,599,"umziehen","to move",""
600,600,"der Umzug","move",""
601,601,"einziehen","to move in",""
602,602,"ausziehen","to move out",""
603,603,"renovieren","to renovate",""
604,604,"einrichten","to furnish",""
605,605,"die Einrichtung","furnishings",""
606,606,"der Nachbar","neighbor",""
607,607,"die Nachbarin","neighbor (f)",""
608,608,"die Nachbarschaft","neighborhood",""
609,609,"der Hausmeister","caretaker",""
610,610,"die Hausordnung","house rules",""
611,611,"die Adresse","address",""
612,612,"die Postleitzahl","postal code",""
613,613,"der Briefkasten","mailbox",""
614,614,"die Zentralheizung","central heating",""
615,615,"die Klimaanlage","air conditioning",""
616,616,"die Heizung","heating",""
617,617,"der Müll","garbage",""
618,618,"der Arbeitsplatz","workplace",""
619,619,"das Büro","office",""
620,620,"die Firma","company",""
621,621,"das Unternehmen","company/enterprise",""
622,622,"der Betrieb","company/plant",""
623,623,"der Chef","boss",""
624,624,"die Chefin","boss (f)",""
625,625,"der Kollege","colleague (m)",""
626,626,"die Kollegin","colleague (f)",""
627,627,"das Team","team",""
628,628,"die Abteilung","department",""
629,629,"das Gehalt","salary",""
630,630,"der Lohn","wage",""
631,631,"die Bezahlung","payment",""
632,632,"der Verkäufer","salesperson (m)",""
633,633,"die Verkäuferin","salesperson (f)",""
634,634,"der Koch","cook/chef (m)",""
635,635,"die Köchin","cook/chef (f)",""
636,636,"der Kellner","waiter",""
637,637,"die Kellnerin","waitress",""
638,638,"der Ingenieur","engineer (m)",""
639,639,"die Ingenieurin","engineer (f)",""
640,640,"der Programmierer","programmer (m)",""
641,641,"die Programmiererin","programmer (f)",""
642,642,"der Mechaniker","mechanic (m)",""
643,643,"die Mechanikerin","mechanic (f)",""
644,644,"der Elektriker","electrician (m)",""
645,645,"die Elektrikerin","electrician (f)",""
646,646,"der Friseur","hairdresser (m)",""
647,647,"die Friseurin","hairdresser (f)",""
649,649,"die Arbeit","work",""
650,650,"der Job","job",""
651,651,"die Stelle","position",""
652,652,"verdienen","to earn",""
653,653,"die Überstunde","overtime",""
654,654,"die Pause","break",""
655,655,"die Mittagspause","lunch break",""
656,656,"der Urlaub","vacation",""
657,657,"der Feierabend","end of work day",""
658,658,"die Besprechung","meeting",""
659,659,"das Meeting","meeting",""
660,660,"der Termin","appointment",""
661,661,"die Sitzung","meeting/session",""
662,662,"die Bewerbung","application",""
663,663,"sich bewerben","to apply",""
664,664,"das Vorstellungsgespräch","job interview",""
665,665,"einstellen","to hire",""
666,666,"kündigen","to quit",""
667,667,"die Kündigung","resignation/dismissal",""
668,668,"die Bäckerei","bakery",""
669,669,"die Metzgerei","butcher shop",""
670,670,"die Buchhandlung","bookstore",""
672,672,"die Drogerie","drugstore",""
673,673,"der Kiosk","kiosk",""
674,674,"das Kaufhaus","department store",""
675,675,"das Einkaufszentrum","shopping center",""
676,676,"die Boutique","boutique",""
678,678,"der Bioladen","organic food store",""
679,679,"einkaufen","to shop",""
680,680,"der Einkauf","shopping/purchase",""
681,681,"die Einkaufsliste","shopping list",""
682,682,"der Einkaufswagen","shopping cart",""
683,683,"der Einkaufskorb","shopping basket",""
684,684,"auswählen","to choose",""
685,685,"anprobieren","to try on",""
686,686,"die Umkleidekabine","fitting room",""
687,687,"passen","to fit",""
688,688,"umtauschen","to exchange",""
689,689,"zurückgeben","to return",""
690,690,"die Quittung","receipt",""
691,691,"der Kassenzettel","receipt",""
692,692,"das Angebot","offer/sale",""
693,693,"der Rabatt","discount",""
694,694,"reduziert","reduced",""
695,695,"im Angebot","on sale",""
696,696,"der Sonderpreis","special price",""
697,697,"die Mehrwertsteuer","VAT",""
698,698,"bar bezahlen","to pay cash",""
699,699,"mit Karte bezahlen","to pay by card",""
700,700,"die Kreditkarte","credit card",""
701,701,"die EC-Karte","debit card",""
702,702,"das Kleingeld","small change",""
703,703,"das Wechselgeld","change",""
704,704,"der Kunde","customer (m)",""
705,705,"die Kundin","customer (f)",""
706,706,"der Service","service",""
707,707,"die Beratung","consultation",""
708,708,"beraten","to advise",""
709,709,"empfehlen","to recommend",""
710,710,"die Empfehlung","recommendation",""
711,711,"sich beschweren","to complain",""
712,712,"die Beschwerde","complaint",""
713,713,"die Garantie","warranty",""
714,714,"der Kindergarten","kindergarten",""
715,715,"die Grundschule","elementary school",""
716,716,"das Gymnasium","high school",""
717,717,"die Realschule","secondary school",""
718,718,"die Hauptschule","secondary school",""
719,719,"die Gesamtschule","comprehensive school",""
720,720,"die Universität","university",""
721,721,"die Hochschule","college/university",""
722,722,"die Fachhochschule","technical college",""
723,723,"die Volkshochschule","adult education center",""
724,724,"das Fach","subject",""
725,725,"der Kurs","course",""
726,726,"die Vorlesung","lecture",""
727,727,"das Seminar","seminar",""
728,728,"der Unterricht","class/instruction",""
730,730,"die Hausaufgabe","homework",""
731,731,"die Prüfung","exam",""
732,732,"die Klausur","written exam",""
733,733,"der Test","test",""
734,734,"die Note","grade",""
735,735,"die Zensur","grade/mark",""
736,736,"bestehen","to pass",""
737,737,"durchfallen","to fail",""
740,740,"üben","to practice",""
741,741,"wiederholen","to repeat/review",""
742,742,"vorbereiten","to prepare",""
743,743,"die Vorbereitung","preparation",""
744,744,"pauken","to cram",""
745,745,"auswendig lernen","to memorize",""
746,746,"nachschlagen","to look up",""
747,747,"notieren","to note down",""
748,748,"abschreiben","to copy",""
749,749,"die Lösung","solution",""
750,750,"lösen","to solve",""
751,751,"erklären","to explain",""
752,752,"die Erklärung","explanation",""
753,753,"verbessern","to improve/correct",""
754,754,"der Fehler","mistake",""
755,755,"der Fortschritt","progress",""
756,756,"die Kenntnis","knowledge",""
757,757,"das Wissen","knowledge",""
759,759,"die Fähigkeit","ability",""
760,760,"das Zeugnis","report card",""
761,761,"der Abschluss","degree/graduation",""
762,762,"abschließen","to complete",""
763,763,"das Abitur","high school diploma",""
764,764,"die Ausstellung","exhibition",""
765,765,"das Museum","museum",""
766,766,"die Galerie","gallery",""
767,767,"die Oper","opera",""
768,768,"das Ballet","ballet",""
769,769,"die Disco","disco/club",""
770,770,"der Club","club",""
771,771,"die Bar","bar",""
772,772,"die Kneipe","pub",""
773,773,"das Fest","festival/party",""
774,774,"das Festival","festival",""
775,775,"die Veranstaltung","event",""
776,776,"das Interesse","interest",""
777,777,"sich interessieren für","to be interested in",""
778,778,"sammeln","to collect",""
779,779,"die Sammlung","collection",""
781,781,"nähen","to sew",""
782,782,"stricken","to knit",""
784,784,"backen","to bake",""
785,785,"gärtnern","to garden",""
786,786,"reisen","to travel",""
788,788,"der Ausflug","excursion",""
790,790,"zelten","to camp",""
791,791,"das Zelt","tent",""
792,792,"das Schach","chess",""
793,793,"die Dame","checkers",""
794,794,"das Kartenspiel","card game",""
795,795,"die Karte","card",""
796,796,"würfeln","to roll dice",""
797,797,"der Würfel","dice",""
798,798,"gewinnen","to win",""
799,799,"verlieren","to lose",""
800,800,"der Gewinner","winner",""
801,801,"der Verlierer","loser",""
802,802,"das Turnier","tournament",""
803,803,"der Wettkampf","competition",""
804,804,"trainieren","to train",""
805,805,"der Trainer","coach",""
806,806,"die Mannschaft","team",""
807,807,"der Verein","club/association",""
808,808,"das Mitglied","member",""
809,809,"das Wetter","weather",""
810,810,"die Sonne","sun",""
811,811,"sonnig","sunny",""
812,812,"der Regen","rain",""
813,813,"regnen","to rain",""
814,814,"regnerisch","rainy",""
815,815,"der Schnee","snow",""
816,816,"schneien","to snow",""
817,817,"der Wind","wind",""
818,818,"windig","windy",""
819,819,"der Sturm","storm",""
820,820,"stürmisch","stormy",""
821,821,"das Gewitter","thunderstorm",""
822,822,"der Donner","thunder",""
823,823,"der Blitz","lightning",""
824,824,"die Wolke","cloud",""
825,825,"wolkig","cloudy",""
826,826,"der Nebel","fog",""
827,827,"neblig","foggy",""
828,828,"das Eis","ice",""
829,829,"eisig","icy",""
830,830,"die Temperatur","temperature",""
831,831,"der Grad","degree",""
832,832,"feucht","humid/damp",""
833,833,"trocken","dry",""
834,834,"die Natur","nature",""
835,835,"die Landschaft","landscape",""
836,836,"der Wald","forest",""
837,837,"der Baum","tree",""
838,838,"der Busch","bush",""
839,839,"die Blume","flower",""
840,840,"die Pflanze","plant",""
841,841,"das Gras","grass",""
842,842,"das Blatt","leaf",""
843,843,"der Berg","mountain",""
844,844,"der Hügel","hill",""
845,845,"das Tal","valley",""
846,846,"der See","lake",""
847,847,"der Fluss","river",""
848,848,"das Meer","sea",""
849,849,"der Strand","beach",""
850,850,"sich fühlen","to feel",""
851,851,"Wie fühlen Sie sich?","How do you feel?",""
852,852,"die Krankheit","illness",""
853,853,"die Gesundheit","health",""
854,854,"Gesundheit!","Bless you!",""
855,855,"das Symptom","symptom",""
856,856,"die Kopfschmerzen","headache",""
857,857,"die Bauchschmerzen","stomachache",""
858,858,"die Halsschmerzen","sore throat",""
859,859,"die Zahnschmerzen","toothache",""
860,860,"die Rückenschmerzen","backache",""
861,861,"der Durchfall","diarrhea",""
862,862,"die Übelkeit","nausea",""
863,863,"der Schwindel","dizziness",""
864,864,"niesen","to sneeze",""
865,865,"husten","to cough",""
866,866,"sich übergeben","to vomit",""
867,867,"die Allergie","allergy",""
868,868,"allergisch","allergic",""
869,869,"die Grippe","flu",""
870,870,"die Infektion","infection",""
871,871,"die Entzündung","inflammation",""
872,872,"die Verletzung","injury",""
873,873,"sich verletzen","to injure oneself",""
874,874,"die Wunde","wound",""
875,875,"bluten","to bleed",""
876,876,"die Praxis","medical practice",""
877,877,"der Patient","patient (m)",""
878,878,"die Patientin","patient (f)",""
879,879,"untersuchen","to examine",""
880,880,"die Untersuchung","examination",""
881,881,"das Rezept","prescription",""
882,882,"verschreiben","to prescribe",""
883,883,"die Spritze","injection",""
884,884,"impfen","to vaccinate",""
