word,example,translation,example_translation,status,correct_count,incorrect_count,date_added,last_studied,user_email,user_name
greifen,Sie griff nach seiner Hand.,"хватать, браться за что-то",Она схватила его за руку.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
gießen,Könntest du bitte die Blumen gießen?,"поливать, лить","Ты мог бы, пожалуйста, полить цветы?",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
sich gleichen,Die beiden Brüder gleichen sich sehr.,быть похожим,Оба брата очень похожи друг на друга.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
hervorheben,Er wollte die Bedeutung dieses Punktes hervorheben.,"выделять, подчеркивать",Он хотел подчеркнуть важность этого пункта.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
herunterkommen,Das Haus ist ganz heruntergekommen.,"спускаться, приходить в упадок",Дом совсем пришёл в упадок.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
hinuntersehen,Er sah aus dem Fenster hinunter.,смотреть вниз,Он смотрел вниз из окна.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
halten,Kannst du mal kurz meine Tasche halten?,"держать, останавливать",Можешь подержать мою сумку?,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
herunterladen,Ich muss die Software herunterladen.,"скачивать, загружать",Мне нужно скачать это программное обеспечение.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
leihen,Kannst du mir dein Fahrrad leihen?,одалживать (у кого-то),Можешь одолжить мне свой велосипед?,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
missfallen,Die Idee missfällt mir.,"не нравиться, вызывать неудовольствие",Эта идея мне не нравится.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
nachgehen,Ich muss der Sache auf den Grund nachgehen.,"следовать, расследовать",Мне нужно разобраться в этом деле до конца.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
hinbekommen,"Ich hoffe, ich kann das noch hinbekommen.","справиться, получить","Надеюсь, я смогу это ещё сделать.",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
freihalten,Bitte halten Sie den Parkplatz frei.,держать свободным,"Пожалуйста, держите парковку свободной.",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
das Vergnügen,"Es ist ein Vergnügen, mit dir zu arbeiten.",Удовольствие,Работать с тобой — одно удовольствие.,studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T07:14:29.431Z,root,Root User
gelingen,"Es ist ihm gelungen, das schwierige Problem zu lösen.",Удаваться,Ему удалось решить сложную проблему.,studying,0,1,2025-09-09T07:11:10.333Z,2025-09-09T15:37:51.094Z,root,Root User
festhalten,"Halt dich gut fest, sonst fällst du!","держаться, удерживать","Держись крепко, иначе упадёшь!",studying,0,1,2025-09-09T07:11:10.333Z,2025-09-09T15:37:58.234Z,root,Root User
genießen,Wir sollten das Leben in vollen Zügen genießen.,наслаждаться,Нам следует наслаждаться жизнью в полной мере.,studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T15:38:09.576Z,root,Root User
lügen,Er hat mich angelogen.,"лгать, обманывать",Он обманул меня.,studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T15:38:58.047Z,root,Root User
fressen,Die Katze frisst ihr Futter.,жрать (о животных),Кошка ест свой корм.,studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T15:39:47.712Z,root,Root User
klingen,Das klingt gut!,звучать,Звучит хорошо!,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
misslingen,Der Versuch ist leider misslungen.,не удаваться,"Попытка, к сожалению, не удалась.",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
hinfallen,Er ist auf dem Eis hingefallen.,падать,Он упал на льду.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
gestehen,Er musste seine Schuld gestehen.,признаваться,Он должен был признать свою вину.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
hereinkommen,Bitte kommen Sie herein!,входить,"Пожалуйста, входите!",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
hochgehen,Die Preise sind stark hochgegangen.,"подниматься, взрываться",Цены сильно поднялись.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
hinweisen,Er wies auf einen Fehler in der Rechnung hin.,указывать,Он указал на ошибку в счёте.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
hinbekommen,Ich werde es schon hinbekommen.,"справиться, получить",Я с этим справлюсь.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
hervorheben,Der Architekt wollte die historische Bedeutung des Gebäudes hervorheben.,"выделять, подчеркивать",Архитектор хотел подчеркнуть историческое значение здания.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
hineinrufen,Er rief in den Wald hinein.,"кричать внутрь, окликать",Он крикнул в лес.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
geschehen,Was ist geschehen?,"происходить, случаться",Что случилось?,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
gelten,Das Gesetz gilt für alle Bürger.,"действовать, быть действительным",Закон действует для всех граждан.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
hinbekommen,"Ich hoffe, ich kann das noch hinbekommen.","справиться, получить","Надеюсь, я ещё смогу это сделать.",studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
hinkommen,Wie komme ich am besten zum Bahnhof hin?,добираться,Как мне лучше всего добраться до вокзала?,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
hereinbitten,Sie bat ihn herein.,просить войти,Она попросила его войти.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
hängen,Das Bild hängt an der Wand.,висеть,Картина висит на стене.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
hinausgehen,Gehen Sie hinaus und genießen Sie die Sonne!,выходить наружу,Выходите на улицу и наслаждайтесь солнцем!,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
klingen,Seine Stimme klang müde.,звучать,Его голос звучал устало.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
mitsprechen,Jeder sollte bei der Diskussion mitsprechen dürfen.,участвовать в разговоре,Каждый должен иметь право высказаться в дискуссии.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
leien,Er hat mir sein Buch geliehen.,одалживать (кому-то),Он одолжил мне свою книгу.,studying,0,0,2025-09-09T07:11:10.333Z,,root,Root User
verschwinden,Mein Schlüssel ist spurlos verschwunden.,Исчезать,Мой ключ бесследно исчез.,studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T07:13:22.698Z,root,Root User
aufschieben,Er hat die Bezahlung der Rechnung immer wieder aufgeschoben.,Откладывать,Он снова и снова откладывал оплату счета.,studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T07:13:32.617Z,root,Root User
fliehen,Der Dieb konnte fliehen.,"убегать, бежать",Вор смог убежать.,studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T15:38:06.874Z,root,Root User
fortfahren,Bitte fahren Sie mit Ihrer Arbeit fort.,продолжать,"Пожалуйста, продолжайте свою работу.",studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T07:14:06.933Z,root,Root User
herausfinden,"Ich muss herausfinden, wer das war.","выяснять, узнавать","Мне нужно выяснить, кто это был.",studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T07:14:36.999Z,root,Root User
hinfallen,Er ist auf der Straße hingefallen.,падать,Он упал на улице.,studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T15:37:31.592Z,root,Root User
hineingehen,Er ging ins Haus hinein.,входить внутрь,Он вошёл в дом.,studying,2,0,2025-09-09T07:11:10.333Z,2025-09-09T15:37:47.727Z,root,Root User
hereinbitten,Sie bat ihn herein.,просить войти,Она попросила его войти.,studying,1,0,2025-09-09T07:11:10.333Z,2025-09-09T15:39:45.211Z,root,Root User
aufrufen,Die App ruft ständig meine Standortdaten auf.,"Вызывать, обращаться",Приложение постоянно запрашивает данные о моём местоположении.,studying,3,0,2025-09-09T07:11:10.333Z,2025-09-09T15:39:40.414Z,root,Root User
heben,Er konnte den schweren Stein nicht heben.,поднимать,Он не мог поднять тяжёлый камень.,studying,0,1,2025-09-09T07:11:10.333Z,2025-09-09T15:37:13.302Z,root,Root User
mitgeben,Ich habe ihm etwas Geld für die Reise mitgegeben.,давать с собой,Я дал ему немного денег на дорогу.,studying,2,0,2025-09-09T07:11:10.333Z,2025-09-09T15:39:37.784Z,root,Root User
auffallen,"Mir ist aufgefallen, dass er heute sehr müde aussieht.","Замечать, бросаться в глаза","Я заметил, что сегодня он выглядит очень уставшим.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
feststehen,"Es steht fest, dass wir uns am Freitag treffen.","Быть решённым, быть установленным","Решено, что мы встретимся в пятницу.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
besitzen,Unsere Nachbarn besitzen einen großen Hund.,"Владеть, обладать",Наши соседи владеют большой собакой.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
beitragen,Dieses Buch trägt zur Forschung bei.,"Вносить вклад, способствовать",Эта книга вносит вклад в исследование.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
eintragen,Du musst dich in die Liste eintragen.,"Вносить, вписывать",Ты должен вписаться в список.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
entstehen,Wie ist dieses Problem entstanden?,"Возникать, появляться",Как возникла эта проблема?,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
erziehen,Man muss die Kinder zu Respekt erziehen.,Воспитывать,Нужно воспитывать в детях уважение.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
einblenden,Der Nachrichtensprecher wird gleich eine Grafik einblenden.,"Вставлять (на экран), включать",Диктор новостей сейчас покажет график.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
einreiben,Reib die Salbe auf die betroffene Stelle ein.,Втирать,Вотри мазь в поражённое место.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
betreten,Der Hund darf das Haus nicht betreten.,"Входить, ступать",Собаке нельзя входить в дом.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
ausladen,"Kannst du mir helfen, die Einkäufe auszuladen?","Выгружать, разгружать",Ты можешь помочь мне разгрузить покупки?,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
aushalten,"Er musste aushalten, dass man über ihn lachte.","Выдерживать, терпеть","Ему пришлось терпеть, что над ним смеялись.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
brennen,Die Kerze brennt bis zum Ende.,Гореть,Свеча горит до конца.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
festhalten,"Ich halte mich am Geländer fest, damit ich nicht falle.","Удерживать, держаться","Я держусь за перила, чтобы не упасть.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
beweisen,"Er hat bewiesen, dass er ein guter Koch ist.",Доказывать,"Он доказал, что он хороший повар.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
die Leistung,Wir sind mit der Leistung des Motors sehr zufrieden.,"Мощность, производительность",Мы очень довольны мощностью двигателя.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
sich verlaufen,Wir haben uns im Wald verlaufen.,Заблудиться,Мы заблудились в лесу.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
aufhalten,Ein Schneesturm hielt den Verkehr auf.,Задерживать,Снежная буря задержала движение.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
begraben,Sie haben den Hund im Garten begraben.,"Закапывать, хоронить",Они похоронили собаку в саду.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
erfinden,Kinder erfinden gerne Geschichten.,Изобретать,Дети любят придумывать истории.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
ablaufen,Der Pass ist abgelaufen.,"Истекать (о сроке), протекать",Срок действия паспорта истёк.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
verschwinden,Mein Schlüssel ist spurlos verschwunden.,Исчезать,Мой ключ бесследно исчез.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
betreffen,Die neue Regelung betrifft alle Mitarbeiter.,"Касаться, относиться",Новое правило касается всех сотрудников.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
genießen,Ich sitze im Garten und genieße die Ruhe.,Наслаждаться,Я сижу в саду и наслаждаюсь тишиной.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
einstellen,Die Fabrik wird die Produktion einstellen.,"Прекращать, настраивать",Фабрика прекратит производство.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
anfangen,Der Film fängt in fünf Minuten an.,Начинать(ся),Фильм начинается через пять минут.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
ansprechen,Ich werde ihn morgen darauf ansprechen.,"Заговаривать, обращаться",Я поговорю с ним об этом завтра.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
besprechen,Wir müssen das Thema im Meeting besprechen.,Обсуждать,Мы должны обсудить эту тему на совещании.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
die Gefahren,Man muss sich vor den Gefahren des Internets schützen.,Опасности,Нужно защищаться от опасностей интернета.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
anhalten,"Die Regierung hat angehalten, sparsam mit Wasser umzugehen.","Призывать, останавливать(ся)",Правительство призвало экономно расходовать воду.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
aufschieben,Er hat die Bezahlung der Rechnung immer wieder aufgeschoben.,Откладывать,Он снова и снова откладывал оплату счета.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
aufschließen,Hast du den Schrank aufgeschlossen?,Открывать (ключом),Ты открыл шкаф?,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
aufschlagen,"Ich habe mein Knie aufgeschlagen, als ich gestürzt bin.","Открывать (книгу), расшибать","Я разбил колено, когда упал.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
ausfallen,Der Zug ist wegen eines technischen Defekts ausgefallen.,"Отменяться, выпадать",Поезд был отменён из-за технической неисправности.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
sich beziehen,Mein Brief bezieht sich auf unser letztes Gespräch.,"Относиться, ссылаться",Моё письмо относится к нашему последнему разговору.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
die Beziehung,Die Beziehung zwischen den Ländern hat sich verbessert.,"Отношение, связь",Отношения между странами улучшились.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
biegen,"Das Schild sagt, dass wir hier rechts biegen müssen.","Поворачивать, сгибать","Табличка гласит, что мы должны здесь повернуть направо.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
ansteigen,Die Temperatur wird morgen stark ansteigen.,"Повышаться, расти",Завтра температура сильно поднимется.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
erhalten,Er erhält ein hohes Gehalt für seine Arbeit.,Получать,Он получает высокую зарплату за свою работу.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
(sich) ergeben,Aus der Rechnung ergab sich ein Fehler.,"Вытекать, следовать (из чего-то)",Из счёта следовала ошибка.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
begreifen,"Er konnte nicht begreifen, wie die Magie funktionierte.","Понимать, осознавать","Он не мог понять, как работает магия.",studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
begreifen,"Es ist schwer, dieses Konzept zu begreifen.",Понимать,Это понятие сложно понять.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
eintreffen,Die Gäste werden gegen 18 Uhr eintreffen.,Прибывать,Гости прибудут около 18:00.,studying,0,0,2025-09-09T07:16:16.603Z,,Kate,Kate
